pdt,mcr_group
PDT000346652.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346656.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346657.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346660.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346665.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346672.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346680.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346789.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346817.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346821.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346829.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346833.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346841.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346843.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346845.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346858.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346865.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346868.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346869.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346877.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346879.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346886.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346893.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346907.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346912.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346925.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346931.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346948.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346954.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346962.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346965.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346974.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000346978.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000351828.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000354910.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000355788.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000362848.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000364514.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000364522.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000365978.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000390645.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000393655.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000394411.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000396733.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000396734.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000396737.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000124650.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000124670.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000124672.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000124674.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000124676.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000124681.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000124688.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000129704.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000135480.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000136714.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000144602.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000157498.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000161408.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168712.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168715.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168742.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168759.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168760.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168775.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168781.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168786.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168790.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168797.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168803.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168806.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168824.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168830.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168833.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168848.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168853.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168861.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000168877.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000171419.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000171422.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000176456.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181654.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181672.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181699.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181720.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181748.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181749.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181757.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181759.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181760.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181773.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181818.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181819.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000181841.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000190678.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000202755.3,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000210706.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000212780.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000212781.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000212783.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000219684.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000219686.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000219688.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000222020.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000225232.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000225236.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000233270.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000233279.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000233289.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000233292.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000233313.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000233314.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000233319.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000233325.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000233840.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000237135.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000237137.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000237138.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000238505.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000242488.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000264632.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000264913.2,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000276018.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000285341.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000289871.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000289874.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000289875.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000289884.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000291269.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000294380.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000294381.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000294389.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000294390.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000294391.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000294392.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000294396.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000294397.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000294410.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298029.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298031.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298038.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298042.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298048.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298053.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298057.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298062.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298064.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298066.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298068.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298076.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000298084.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000313448.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000325043.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000331967.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000333201.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000337148.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000345921.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346531.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346536.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346543.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346546.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346547.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346556.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346557.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346566.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346573.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346574.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346588.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346592.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346596.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346599.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346601.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346608.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346614.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346619.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346628.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346632.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346635.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346636.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346645.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346652.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346656.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346660.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346665.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346672.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346789.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346829.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346833.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346843.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346858.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346865.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346868.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346869.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346877.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346879.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346886.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346893.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346907.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346912.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346925.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346931.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346948.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346954.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346974.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000346978.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000351828.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000354910.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000355788.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000362848.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000364514.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000364522.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000365978.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000396733.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000396734.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000396737.1,"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)=>mcr"
PDT000123365.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000124608.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000124651.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000124672.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000129704.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000135480.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000135730.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000144602.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000157498.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000161408.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000163381.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000163382.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000163383.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000163384.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168712.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168715.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168718.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168742.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168746.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168763.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168768.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168769.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168774.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168781.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168786.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168790.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168806.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168824.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168830.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168833.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168848.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168853.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168858.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168860.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168861.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000168877.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000171419.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000171422.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000171426.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000171430.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000171436.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000171801.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000176456.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000181653.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000181671.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000181672.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000181720.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000181748.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000181789.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000181811.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000181812.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000181832.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000190678.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000209875.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000212780.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000212781.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000212783.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000213927.2,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000215974.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000219683.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000219684.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
PDT000219686.1,"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3=>mcr"
